,R^2
0,-0.0012816567748071828
1,0.002564062919732657
2,0.002898514371642791
3,0.00018977255230423484
4,0.0003924285970299257
5,0.0017737854168784484
6,0.0013640165058784737
7,0.00544187307354993
8,0.001383612892361219
9,0.005002226933294662
10,0.00394072134547796
11,0.00785037943245781
12,0.0009788307521921835
13,0.005887392876639752
14,0.0047532718973699595
15,0.0027984552275909236
16,-0.0007622019598049201
17,0.002079316233121631
18,0.0033569119063435737
19,0.0018976821353481332
20,0.002197444496896961
21,0.002175365881916913
22,0.003114600721388694
23,0.002659736516532285
24,0.005835112910737461
25,0.0016776562161103792
26,0.00015524784340181785
27,0.004838304019623263
28,-0.0022528715586965786
29,0.003695722755289843
