,R^2
0,0.013489855558943886
1,0.009137897842745324
2,0.013727106394533672
3,0.012033987181025108
4,0.008731809975966898
5,0.010803786901813606
6,0.010256511426134929
7,0.009290005807063295
8,0.010881969608831588
9,0.010759856111082766
10,0.010943658566296866
11,0.011410856533337177
12,0.008620243095031399
13,0.010049624813557978
14,0.011047586282252664
15,0.01338635962999557
16,0.007280924586877013
17,0.010995616352442505
18,0.013462618181882768
19,0.008271358978484522
20,0.012262893487216875
21,0.007667360744647245
22,0.012366577902250597
23,0.013032813365868479
24,0.009742148139822437
25,0.00978380661397582
26,0.009974505579373516
27,0.011556672625262943
28,0.009317571257093538
29,0.01157477583472255
