,R^2
0,0.0021747233775522012
1,0.0026228760275837093
2,0.0021501185676015
3,0.003187261578652123
4,0.0030854118914340756
5,0.0026568791566861094
6,0.0025671220503549197
7,0.0033171851985190903
8,0.0027982205234899915
9,0.0019115528570421425
10,0.0029687145065040443
11,0.0024582561335912967
12,0.0028057637132471447
13,0.002452074952807859
14,0.002449329778601572
15,0.0026103863548846418
16,0.0031388006949454317
17,0.0029727677198106983
18,0.002683162514000803
19,0.003226756515617102
20,0.001985053771401457
21,0.0018341148400544682
22,0.0028748751174028087
23,0.002010277699813101
24,0.0033147415362396737
25,0.002774989935864336
26,0.0032859563667386738
27,0.0032957583180625027
28,0.002643226190596648
29,0.0027137764593893055
