,R^2
0,0.005536193973861514
1,0.004879439707449529
2,0.005908306411737563
3,0.007845118359489867
4,0.0065300129424903375
5,0.00623192392974059
6,0.005620460709775288
7,0.006352286727388856
8,0.006546531074314688
9,0.007589758016170567
10,0.007514955035893278
11,0.005633997338986618
12,0.006140479187546455
13,0.0055849468019379955
14,0.00647901826685493
15,0.008318716388617475
16,0.007867346341497328
17,0.005920038279684792
18,0.004852149611167755
19,0.0060947618228230915
20,0.005866827346430514
21,0.0067312368480031415
22,0.006139048171527772
23,0.006267779653998384
24,0.006485712661699727
25,0.006755084900449626
26,0.007995840304119595
27,0.007674236039992066
28,0.00820561420514232
29,0.00572079865375219
