,R^2
0,0.0014224266922037154
1,0.0018566425580678336
2,0.0027022205842555103
3,0.0007518295249291373
4,0.002140310510789445
5,0.0025838063502393593
6,0.0026298811435090386
7,0.0013445702919158142
8,0.0024374385688407108
9,0.0009941676019556978
10,0.0015289479397199157
11,0.0007911945182544899
12,0.0010595483325670507
13,0.0030843987415397622
14,0.0024991282046026297
15,0.0022422084824899047
16,0.0026096063170966133
17,0.002089955018694134
18,0.002718412041539886
19,0.0017179820775107268
20,0.0017854664929987107
21,0.002562165927637583
22,0.001162283273884901
23,0.001988077574586189
24,0.001903125631161906
25,0.0013696401468341612
26,0.0017867444002558353
27,0.0033020423050136305
28,0.00249572239046858
29,0.0031831636995313106
