,R^2
0,0.06450615358395684
1,0.06532492607481144
2,0.08161917349505143
3,0.06700844152150265
4,0.04451765800306262
5,0.04366518025119803
6,0.08737406345729837
7,0.044190075317327326
8,0.0805617662361775
9,0.06238739121204562
10,0.05253867754284913
11,0.07852014907243765
12,0.04769623877405582
13,0.06026858663857848
14,0.04133876358413757
15,0.06271547166046676
16,0.05797093943951315
17,0.04235624599128962
18,0.06660705866770489
19,0.054327790521906616
20,0.06260461927810534
21,0.04740998799512497
22,0.050417352011276506
23,0.05802119382336235
24,0.07456985430309859
25,0.06785427385093534
26,0.07192999672760592
27,0.07046419457082953
28,0.06530112803945931
29,0.05951721494582696
