,R^2
0,0.03277739777563515
1,0.042897853063556646
2,0.024656882383516487
3,0.0433396706005702
4,0.03106971790245594
5,0.0365945050816181
6,0.03427798193435039
7,0.030687642571254004
8,0.031710412663955134
9,0.03652501175410672
10,0.03322999404406368
11,0.028433906884528515
12,0.0413163250953813
13,0.042355300338177915
14,0.03961169894380856
15,0.048045583049063256
16,0.03224666859385439
17,0.039823286561273985
18,0.026793479059876835
19,0.025170604291207654
20,0.038952111172586124
21,0.04525328888052427
22,0.03475820790057038
23,0.03833729615108661
24,0.03518458067804464
25,0.04270450319484764
26,0.034049091282606136
27,0.04055971401128633
28,0.02803920568240037
29,0.04047893415724835
