,R^2
0,0.0028287458564972834
1,0.008985045130364688
2,0.022509797679615917
3,0.009473137702949996
4,0.01364431557918111
5,0.004959717457324375
6,0.011574863844254546
7,0.008482235610975053
8,0.017038286363366018
9,0.008619655576435625
10,0.012878700134361765
11,0.009730737884093177
12,0.013675617843954324
13,0.007658938377950397
14,0.0007113307679977865
15,0.012145767243400996
16,0.012089929408181876
17,0.013200148817435031
18,0.011834054247666703
19,0.012692551186473167
20,0.01222976044317392
21,0.010588610248526753
22,0.016738646894032816
23,0.006863325609640203
24,0.004369064391777311
25,0.009787877747186258
26,0.0010232104138300224
27,0.008961570873304292
28,0.016958671472829923
29,0.011483742415664855
