,R^2
0,0.007720608129058837
1,0.0041763793965527984
2,0.00772663310425914
3,0.003922241806436855
4,0.000949335817610697
5,-0.0005486958060090252
6,0.003480944736609759
7,0.0027147665658219244
8,0.0028848962640010134
9,0.0011075597673186888
10,0.00427453269172029
11,0.0056684184968952556
12,0.006002713663647796
13,0.0017351838582537749
14,0.0013427320203778237
15,0.003883718639195677
16,-0.0011587562451572664
17,-0.0018024789106328987
18,0.00417284386509742
19,0.001720542780629386
20,0.005593977406356254
21,-0.0004780993432117464
22,0.002951929020362676
23,0.006122211144339529
24,0.00799837590050756
25,0.0031456108583652886
26,-0.0014700208002031978
27,0.0048708830097392575
28,0.002859128127180921
29,0.007192940628840239
