,R^2
0,0.010901581909275926
1,0.002267967960854711
2,0.0054186029134581926
3,0.0026589961198784096
4,-0.0012751932915909814
5,0.010376106035230537
6,0.005784972898430163
7,0.0060830700467198184
8,0.011777931301940492
9,0.010169841636875843
10,0.006937145128179556
11,0.006601528160366965
12,0.006607937087779625
13,0.008223049477105393
14,-0.0015305286477126367
15,0.007372377529842766
16,0.009082992578423377
17,0.009747294846808807
18,0.005695459424357119
19,0.005269025292815477
20,-0.0009630848136181758
21,0.007605596414351545
22,0.007582066435500745
23,0.006608734217581791
24,0.0058944862314980195
25,0.003462341165802685
26,0.011979162739697236
27,0.006130049803254489
28,0.0021013453637319657
29,0.005174821764053816
