,R^2
0,0.005924985553730444
1,0.004720068636622665
2,0.004730481531823205
3,0.0025272481279812187
4,0.002699598365502043
5,0.009153450342344938
6,0.00799192377430158
7,0.006292840931601429
8,0.0047260195420362194
9,0.007029729079894409
10,0.007500929001999723
11,0.006942241438275043
12,0.003912863608071082
13,0.0033685922404154134
14,0.009025525941665613
15,0.0043408813689487236
16,7.917106447186129e-05
17,0.0041722675380486685
18,0.0032192805838422434
19,0.0028629520864250635
20,0.003918093822507185
21,0.00833939550174334
22,0.0013137552311581757
23,0.00802107021222187
24,0.0058539589640154155
25,0.0056366124311830745
26,0.0046718870967717985
27,0.005390277018441414
28,0.0048201536702929815
29,0.003330414515700486
