,R^2
0,0.0021333565774792618
1,0.0031277110573415534
2,0.0017380756041371903
3,0.002834721475372781
4,0.0022991414200592697
5,0.0032671882802013386
6,0.0016586098707853658
7,0.0020194087034404173
8,0.002488833619895825
9,0.0021592442875462137
10,0.0014736678254820834
11,0.0017089341223799348
12,0.0029706058159362225
13,0.002205561233152631
14,0.00288273498804692
15,0.0018182423340504794
16,0.003008783185515007
17,0.0014937186278448644
18,0.001798995988714247
19,0.003054775973234003
20,0.003685405344223458
21,0.002580831806061168
22,0.0019352110902866038
23,0.003664135329573215
24,0.002183140497506786
25,0.0024094064585868935
26,0.0016501846357549477
27,0.0015546002821800187
28,0.0022836663609253627
29,0.0032343166646441324
