,R^2
0,0.018431775811959206
1,0.009776137368927573
2,0.033088104386025385
3,0.027227230362949717
4,0.03158339828828505
5,0.033291747081493295
6,0.031467095084859675
7,0.01926636214752686
8,0.02581935291808002
9,0.023693764341355505
10,0.03076400568925053
11,0.04073185970144855
12,0.02569194829114796
13,0.011695231388107019
14,0.03393608650855351
15,0.0271538711769711
16,0.030016636886583292
17,0.02302406305940219
18,0.021574390242779296
19,0.02623881883563184
20,0.02799031110944694
21,0.030077640104111514
22,0.0380087582922527
23,0.028438031217139503
24,0.021530681515684935
25,0.02542143016932452
26,0.021999939016770997
27,0.022984954351878195
28,0.031143680409106533
29,0.018001110864274583
