,R^2
0,0.07726083850627985
1,0.07840687409159086
2,0.09767892574753922
3,0.058737273292783554
4,0.06871077422411875
5,0.08375306221368162
6,0.08325190561000351
7,0.08198050502822252
8,0.07509299216844068
9,0.09397646082728606
10,0.07594049337760045
11,0.07600728637626442
12,0.08161953494979135
13,0.09342545072290132
14,0.06069822863854102
15,0.07591973993180867
16,0.09561964929943101
17,0.048403321980796776
18,0.06100396390459617
19,0.08116626333110355
20,0.07352451617141598
21,0.07931215722166518
22,0.0854140406372701
23,0.06699247288769772
24,0.0816248681290418
25,0.07184896511422889
26,0.06341124091723416
27,0.08738548126705659
28,0.09162279675823914
29,0.08322325368720418
