,R^2
0,0.00686352819633218
1,0.004401678949573773
2,0.0028402362874798692
3,0.0020132409573148102
4,0.003770106245388649
5,-0.0005387740381912476
6,0.0045333044230392305
7,0.0022952327257111937
8,0.0018936904777305807
9,0.004151589275218304
10,-0.0002595406587483362
11,0.0023370143134818777
12,0.0034013824939341797
13,0.0006642476095475303
14,0.001213950061149549
15,0.0018402079055425125
16,0.0021034014598678707
17,0.0012179736440196542
18,0.0024228223673862237
19,0.003962019004673967
20,0.0026106111847509217
21,0.0007547755163092029
22,0.004531456005505752
23,0.005095626562819255
24,0.0005199792940906445
25,0.005187230479766991
26,0.0030652287715592363
27,0.004524187920313394
28,0.002252717295110118
29,0.005716045898649491
