,R^2
0,0.11348448697289948
1,0.11850360605560306
2,0.1221659267674855
3,0.11947919381033367
4,0.12446972807014034
5,0.10913312679064213
6,0.13333188464425705
7,0.13896944443934034
8,0.12763405624541424
9,0.1453141286503632
10,0.11105729254270857
11,0.11944272329717909
12,0.12944768917057514
13,0.11862044457185716
14,0.1401762616975072
15,0.12246917383054767
16,0.12145509576357294
17,0.1124498798526058
18,0.11622997179958805
19,0.1339191432165152
20,0.1601373045915767
21,0.1499183302597228
22,0.11615000308137646
23,0.10253671832027433
24,0.10485896467883649
25,0.11688609723253318
26,0.11755331182503292
27,0.1339670929555543
28,0.11163124747665831
29,0.12195386844722833
