,R^2
0,1.0887564467692852
1,1.1445041103039195
2,1.178559152870873
3,1.087656461282451
4,1.0969561477220549
5,1.1610225769344151
6,1.2495329654503082
7,1.1588652056171198
8,1.1154340698988043
9,1.2075019629592205
10,1.1772108497406462
11,1.170514410896954
12,1.129236828421294
13,1.1698541125011501
14,1.1947971763225036
15,1.261806946286432
16,1.112287353896955
17,1.111481949525
18,1.2998079777366298
19,1.2802299758111493
20,1.2937106167366066
21,1.3174153436959137
22,1.1774888904617185
23,1.0944411918041617
24,1.0716318560830242
25,1.2045460152245475
26,1.0224796543592873
27,1.3176044007740026
28,1.0972071744171337
29,1.1352418861359355
