,R^2
0,0.005443049664195065
1,0.0044100064525335325
2,0.005559015380607324
3,0.005049061571596458
4,0.005156739439933222
5,0.00615183956088472
6,0.0055075289288691875
7,0.004182566414507094
8,0.004658682549730231
9,0.005499242501252111
10,0.005146249159332705
11,0.004990683922169392
12,0.006341663561371891
13,0.004346165155196813
14,0.005076893794984216
15,0.005607825968914959
16,0.005889375923678775
17,0.0044446620222015065
18,0.0041906543015398645
19,0.004933670439047799
20,0.004857484997942252
21,0.005354181454886864
22,0.005376259611271084
23,0.0042726098700462956
24,0.005242199176356377
25,0.006336624853303441
26,0.005098053982591111
27,0.0036134602312394293
28,0.005419710862913929
29,0.005081701035796082
