,R^2
0,0.07670284060135724
1,0.08556641446505608
2,0.08600081535634918
3,0.06760696332913996
4,0.0913163423028468
5,0.08716465524025419
6,0.0619035365814673
7,0.07946911826008263
8,0.08130578452120318
9,0.09198217472929193
10,0.08116874814729047
11,0.077342189029592
12,0.08577686005821805
13,0.07739274762897652
14,0.07972823838631826
15,0.1039568015351966
16,0.037758465744919034
17,0.08875541038642087
18,0.07467097443585091
19,0.0656990350590213
20,0.06458986395804722
21,0.09041025764097743
22,0.09581080134816056
23,0.08584314148551986
24,0.07401168106285161
25,0.06610465918132391
26,0.0927288743792879
27,0.08112421933218561
28,0.070493522921796
29,0.060903637317017756
