,R^2
0,0.015379514578969466
1,0.009518337083791684
2,0.029569444491768238
3,0.028479544756250808
4,0.011194362051316631
5,0.023959184554673385
6,0.015648087298039126
7,0.023709218868565363
8,0.021972716124959657
9,0.008012433781008577
10,0.01605518414626317
11,0.017343013632648452
12,0.019981663602061994
13,0.026677532570195783
14,0.02003828813138142
15,0.017837700417244973
16,0.03996662329218614
17,0.023613156448524908
18,0.0290209934493042
19,0.033890334032352754
20,0.03325962644773073
21,0.014979987848387832
22,0.02338806455885356
23,0.02351790028382239
24,0.020799849696907846
25,0.024630919963257725
26,0.01557068163432973
27,0.026677037505107082
28,0.025535771777264404
29,0.020766770227613307
