,R^2
0,0.005044301571920373
1,0.001962927143899229
2,0.001593646748958566
3,0.006307370565706849
4,0.0037617626361754475
5,0.0028953426847275754
6,0.0067431353544666894
7,0.002851281920978055
8,0.010669641662236828
9,0.0017975927793684177
10,0.004766226677770935
11,0.007788535970154498
12,0.012358006278981093
13,0.005829772535045019
14,-0.0011629376885013976
15,0.004872693819512164
16,0.010354391469578839
17,0.0060255643227264954
18,0.006394439761621351
19,0.009246065384731494
20,0.012866546055926409
21,0.0029859011039922168
22,0.0016123403785025525
23,0.00804905811572676
24,0.004713647407906252
25,0.003029454457760372
26,0.0030923477677546884
27,0.008192473590694527
28,0.007188655986015813
29,0.0053563035446648755
