,R^2
0,0.0006920602387633368
1,0.0008563063470178323
2,0.0007490792638255028
3,0.0006677584888515886
4,0.0007271557581435273
5,0.0009478332166554804
6,0.0005792743874362127
7,0.0006450320638571316
8,0.000641650933867921
9,0.0006740561439537718
10,0.0008715215814546484
11,0.0012157257881758587
12,0.0009531119277379485
13,0.0010597758923336364
14,0.00038107097591411065
15,0.00041688995431532483
16,0.0008154869282956945
17,0.0007758928831886891
18,0.000561971681494855
19,0.0007447817509643739
20,0.0006212110610620547
21,0.0008634146939476839
22,0.0006328739692504914
23,0.0010150235771504423
24,0.0006445125255863937
25,0.0006022113332270207
26,0.0008334827013077861
27,0.0009178245971724897
28,0.0005334770827466473
29,0.0005736550599845236
