,R^2
0,0.000468880943272465
1,0.00034436629044010125
2,0.00019996351146678304
3,0.0003253241778369276
4,0.0003491051829132008
5,-1.9134585363067558e-05
6,0.00015340650913719944
7,0.00013753017064999096
8,-0.0001330791856137825
9,0.00019270403034477024
10,1.239822615861641e-05
11,-0.00021111861000289167
12,0.00046552228908924853
13,-4.9440806668021864e-05
14,-8.28173463662818e-05
15,0.0004384658996706703
16,0.0006995908330617029
17,-0.00029513981774653697
18,-3.250589786119029e-05
19,0.0005521553556133707
20,-7.054464348177358e-05
21,-0.0003634506983060115
22,0.0001616149622180041
23,-0.0002923520887436748
24,-0.0005597055485605518
25,5.698450288726953e-05
26,0.0001546527797342545
27,0.00012080998927255227
28,0.0003721416793683874
29,0.00017489461270248086
