,R^2
0,0.00019925383785812656
1,0.0004107451513847282
2,0.0009856154894567482
3,0.001059707829883516
4,0.00025247396172001224
5,0.0008940955603137235
6,0.0010111831637167334
7,0.0005292699681089807
8,0.00017013727043091453
9,0.0006905407295028088
10,0.0006183475427909979
11,0.00043532820801528427
12,0.0009114377466736823
13,0.0007764465705452084
14,0.0007098704797778854
15,0.0007875273751449807
16,0.0006829473780606277
17,0.0002162117247049844
18,0.00023696453697852338
19,0.000952456337545371
20,0.0012825936820244355
21,0.0010935515027094
22,0.001154356985370586
23,0.0007474436363408277
24,0.0014154836929414216
25,0.0010782627150981439
26,0.0005305543986012795
27,0.00040430350310061147
28,0.0007729278595500766
29,0.00048697065612635093
