,R^2
0,0.0013865165452388029
1,-0.0007282884713092352
2,0.0006612436407307243
3,0.0011115082534258747
4,-6.145785524303005e-05
5,0.000509435163679739
6,0.00021789704145758204
7,0.0014214172353053112
8,-0.0004812859448558582
9,-0.0007211013357935059
10,-0.00014634194132401301
11,-0.00018899502618674457
12,0.0009304499091392637
13,-7.495617654096343e-05
14,-0.0005420144895816881
15,0.00036655004117946977
16,-0.0005494960513467984
17,4.416730538736591e-05
18,-0.0001979328667914837
19,0.00040090883001830946
20,0.0013069956670261895
21,0.0002012693794302134
22,-0.00074404716871046
23,0.0013151602315545352
24,-0.0004910251428796863
25,-0.00018525225385690458
26,0.000598494332318511
27,0.0007218403389104289
28,0.0004836972514896676
29,0.00024292834332051427
