,R^2
0,0.000744110821372046
1,0.0036637389050918623
2,0.002513320166510069
3,0.0033853971954659334
4,0.0008702870649452965
5,0.0037642065616737552
6,0.00035168265157881073
7,0.0010385441314569865
8,0.0045130969105250385
9,0.0015084408836659735
10,0.0011472248746295932
11,0.0017788841066300742
12,0.002346878485099513
13,0.0038152227754328916
14,0.0004846573304956303
15,0.0049395251087543945
16,0.002574744668993212
17,0.002408943872896918
18,0.00156928014611879
19,0.004272737481491928
20,0.002866888539958534
21,0.0007844590287483522
22,0.0018672144002445101
23,0.001261691671333831
24,0.002155328548149038
25,0.0010321105124690977
26,0.0028527054071448843
27,0.0009574671598222562
28,0.0015087769332444712
29,0.0010430804541589067
