,R^2
0,9.665771396605294e-07
1,9.659334954115195e-08
2,4.0187571292982227e-07
3,-1.1041121863453185e-06
4,-5.444645188035224e-07
5,-3.584591428129613e-07
6,-1.2554762514049855e-06
7,-1.4211510146466821e-07
8,-4.165413314272115e-07
9,-1.2799770132687627e-06
10,-2.733012083311337e-07
11,1.0106945640409037e-06
12,-2.520988476861774e-06
13,-1.6844857042563888e-07
14,-2.881005514154822e-07
15,-2.259915450331107e-07
16,4.958647570330044e-07
17,8.601766392501986e-07
18,-1.3048346034771896e-06
19,1.6107402425191708e-06
20,-6.310086637650869e-07
21,-5.620824878871389e-07
22,-9.138516612328118e-07
23,-5.846246331486782e-07
24,9.085167640421332e-08
25,-3.2303093422392237e-07
26,9.487431111843136e-07
27,2.422381446542943e-07
28,-2.505872709335222e-07
29,-9.529570466071391e-09
