,R^2
0,0.0012558401998512547
1,0.003914208753517556
2,0.0034522066592628242
3,0.0008017488037868059
4,0.0021963249897067882
5,0.004208386419877419
6,0.0038628580787796185
7,0.003770043360786568
8,0.0033369372453702084
9,0.0029246111959733145
10,-0.0005757043622520719
11,-0.00028804797896508916
12,-6.684320218264261e-05
13,0.002313230401015387
14,0.0027886533145635717
15,0.0039039110264240673
16,0.0055715124377127
17,0.003593988720393959
18,-0.0013950805013465128
19,0.0022827779094003464
20,0.0018613966337293064
21,0.0026996919355788407
22,0.005162147415746832
23,0.005177602495326505
24,0.0016063605043079576
25,-0.0014799868108918979
26,0.0006062850247303686
27,0.003173873931762383
28,0.005037551945525021
29,0.004367102302385462
