,R^2
0,0.0012918704057525154
1,0.0009505121781918646
2,9.599560921391692e-06
3,0.0005854700246864519
4,0.00018746627556753825
5,-8.999700050560389e-05
6,0.0005485821358522935
7,7.023522556637296e-05
8,0.0001469121570695231
9,0.0005852599835461936
10,0.0007713715597671422
11,0.00037343506386966485
12,0.0008315360620595458
13,0.0009207109872252373
14,0.00013280971416584908
15,0.0009173472649586234
16,0.001021793073193833
17,0.0006134921888117928
18,0.0005468443051523941
19,-0.00037497793700480564
20,0.0014178390047928646
21,0.0008629719007822167
22,0.000711614021188689
23,0.001035992909002026
24,0.0009535369136226546
25,-0.00020442102116247085
26,0.00015398387785736656
27,0.0018323187659067264
28,0.0008825903792021306
29,0.0006689103881726277
