,R^2
0,0.0065258045181512125
1,0.012284051149297537
2,0.0013994359831648318
3,0.010596504082814873
4,0.012264812092912414
5,0.003939345128630256
6,0.00032339253891411346
7,0.0028258304901779274
8,0.0010810398997154191
9,0.008145804714767002
10,-0.0015202488919189294
11,0.002417924542702621
12,0.005581581397452906
13,0.0009407906169659475
14,-7.524151960114356e-05
15,0.0022031150559348456
16,0.008276645500948643
17,0.010855689913188304
18,0.017289797907064197
19,0.004142915354315657
20,-0.0027773012115219764
21,0.0022116854367356664
22,0.0045732568417450326
23,0.004440671361041537
24,0.0008613426463505158
25,0.0005008463208999725
26,0.00490323115685265
27,0.003332310802055316
28,0.003728439361015967
29,0.005650118800331283
