,R^2
0,0.005874432822125963
1,0.0031899962504653434
2,0.002166566992614527
3,0.0135388380433481
4,0.0034082086806555
5,0.005246483127655188
6,0.008010879672156968
7,0.003820106095879794
8,0.01005740320508175
9,0.003059881789403085
10,0.004629199540265305
11,0.003703869326361242
12,0.003273626348419545
13,0.006663473348447413
14,0.0034115998725530172
15,0.009870975977991914
16,0.005284306435741404
17,0.00016710244090367699
18,0.010405331214179081
19,0.0006521585108645311
20,0.003529550739385545
21,-0.004930649687540201
22,0.005619355430591444
23,0.004530289878916349
24,0.011906011486089385
25,-0.0002393769905448817
26,0.008398047018417731
27,0.0018526644214107435
28,0.006380685058853031
29,0.0005998887212566029
