,R^2
0,0.009596637266824248
1,0.012003583492783632
2,0.020062073956534587
3,0.012468604281044793
4,0.012686006880025857
5,0.009316788902024475
6,0.009360375927833675
7,0.010522718359098349
8,0.018836903576211594
9,0.010482117117902257
10,0.01631852723076499
11,0.01390398699671569
12,0.007882758818254842
13,0.018253590563747202
14,0.013706971467235207
15,0.012115194720950684
16,0.011271957654748643
17,0.01564161664097219
18,0.010634148808857935
19,0.014260638296607953
20,0.01428298718597898
21,0.009644502849827319
22,0.010443764989846227
23,0.005956427277375886
24,0.008670955836710181
25,0.016377334136859156
26,0.012561813836699631
27,0.023093653759368116
28,0.015839801559568656
29,0.015350100887581375
