,R^2
0,0.021386359697859514
1,0.025840992180106048
2,0.03117747445742247
3,0.02013389726824233
4,0.040983748792180696
5,0.02701211141762938
6,0.027827694356600374
7,0.0312696229520989
8,0.03359175945516879
9,0.03409045909397923
10,0.02432763930555404
11,0.03419558876616213
12,0.03345756658124788
13,0.026638374918308005
14,0.03098656230249841
15,0.02434556142651989
16,0.028957615278271565
17,0.029096738383879828
18,0.011893905727659582
19,0.029831366613108035
20,0.035803325147721665
21,0.02995346705658719
22,0.030405821477774375
23,0.024179259126978603
24,0.03755318164457955
25,0.031586740078822784
26,0.03360566302068413
27,0.03662040753219331
28,0.04047225926356279
29,0.030687395685039864
