,R^2
0,0.0019233675916534576
1,0.0022616482589512543
2,0.001434280001249455
3,0.0018791350184041988
4,0.0007002189527909319
5,0.0011058502694303307
6,0.0015392575527535257
7,0.0016958481593014607
8,0.001244652163031379
9,0.0023690342660871444
10,0.002062579445492818
11,0.0013334292857164476
12,0.0017007869573874013
13,0.0006183000393863436
14,0.0005534474070045814
15,0.0015729200207481586
16,0.0017457672249319156
17,0.0024758538253768503
18,0.0018904433227939776
19,0.0016652123300190391
20,0.0013975711675633384
21,0.0015582485837380977
22,0.001860269446243512
23,0.0024618250390420204
24,0.0014670050201639473
25,0.001817617865823573
26,0.0024975763380722382
27,0.002522974818631507
28,0.0013733607112019763
29,0.002167422678175601
