,R^2
0,0.006786218679841305
1,0.0031158910120815397
2,0.006790103780211942
3,0.003874839642792005
4,0.00019130223864793905
5,0.005241507139897239
6,0.008540221744959497
7,0.01295444380009414
8,0.006970147638182489
9,0.004634098017503363
10,0.004707821112501898
11,0.003644667328587148
12,-0.0006451823396197431
13,0.011278056827899507
14,0.004844275056214653
15,0.005719514139641224
16,0.005200790800066746
17,0.005516757811993456
18,-0.00011823429680901665
19,0.0021703497413306794
20,0.011965235588100365
21,0.008224578044822461
22,0.006111190390004295
23,0.007556904257591812
24,0.006660156263280981
25,0.013907264596402902
26,0.0025934302662353748
27,0.0028639828450979232
28,0.0046059540380885
29,0.014309027564053278
