,R^2
0,0.014712908740058817
1,0.011964227248910775
2,0.012535615034742542
3,0.013138531680333077
4,0.012538811367322045
5,0.015392249363805455
6,0.010086498296819624
7,0.013596329504073523
8,0.013417726160204424
9,0.013378309792132836
10,0.017565395496484393
11,0.013047945654768633
12,0.018130371424804226
13,0.006695803489037866
14,0.017456273777736286
15,0.01382756546909214
16,0.01758041267012911
17,0.011649435189653112
18,0.014849845933535
19,0.015691342446991552
20,0.014233457184526954
21,0.012646172376741371
22,0.013863534002025002
23,0.010944760691821154
24,0.01623387627159012
25,0.009680405494612576
26,0.013991601037527168
27,0.013586985278617791
28,0.012357900303793912
29,0.006967531571868468
