,R^2
0,0.005210949916904628
1,0.0069499242344542855
2,0.007371279634748262
3,0.006001074023038733
4,-0.0015575367380111782
5,0.0039357698726937285
6,0.006146106899945769
7,0.007500977044178292
8,0.004643745947537026
9,0.006442021819712762
10,0.002428288782924004
11,0.004153578647412726
12,0.007780649497941106
13,0.004523874053988575
14,0.007292313225238267
15,0.006067145494167425
16,0.004305490910056831
17,0.007492018289257829
18,0.004997748139740188
19,0.007825994917144752
20,0.005828866439912317
21,0.008193043393727506
22,0.005707852289150939
23,0.005546393883106626
24,0.0030743743508250265
25,0.004329817623707544
26,0.005667157084414676
27,0.00591584751793095
28,0.00767944489634842
29,0.006369966074387556
