,R^2
0,0.14893316853831917
1,0.1468535273994791
2,0.17186617665224668
3,0.147005075421222
4,0.17555136117399706
5,0.17751175037723832
6,0.14783939380419098
7,0.16233713473251465
8,0.18245278625280514
9,0.13654851259207001
10,0.15784565431350805
11,0.14184102213467076
12,0.1669209054972013
13,0.16187881598524656
14,0.19083646689039735
15,0.13349742955051247
16,0.17301186566340532
17,0.1652123956287781
18,0.17348467646785004
19,0.1591175238100142
20,0.13930972195919566
21,0.16440096938576776
22,0.17133031076623118
23,0.1501210063576739
24,0.17722942630858596
25,0.11327738012685229
26,0.17786873334312814
27,0.19961493488808457
28,0.1451400068194989
29,0.11342383430660652
