,R^2
0,0.09226953908670377
1,0.11873308774975455
2,0.10561082187660964
3,0.10720506717981981
4,0.10439073539600097
5,0.11288641738128469
6,0.09018282490350604
7,0.10199482522941461
8,0.10837727759842686
9,0.09377240560668021
10,0.0932899599400624
11,0.08921265102285125
12,0.10098346622754184
13,0.09075375085512483
14,0.10410939875127156
15,0.12137960205045095
16,0.14304187840596183
17,0.11853301076836065
18,0.11292906548247972
19,0.1129361452232841
20,0.11027997930781752
21,0.11290312717220041
22,0.13134737319170464
23,0.12887029715653353
24,0.1297662206611564
25,0.10508099592247344
26,0.11252584540786736
27,0.11300587611556401
28,0.09611668955439001
29,0.10463483559991837
