,R^2
0,0.012103376613218142
1,0.009940350062132786
2,0.014891862574120673
3,0.013436239449499232
4,0.00889604463230731
5,0.011199221640767476
6,0.010579091565515175
7,0.014110084198870498
8,0.011577065756885219
9,0.008810660242056123
10,0.010579547678829182
11,0.016380235721353165
12,0.010950506139964733
13,0.008344870443369401
14,0.009537596635477819
15,0.01219044273146197
16,0.00765359418768552
17,0.009273926978186298
18,0.01353400786320691
19,0.013573538509429217
20,0.012415060247879084
21,0.011130891084412564
22,0.012037580013089633
23,0.011445036512650608
24,0.0117024057661258
25,0.01809026978420747
26,0.009171747833309318
27,0.018405081163436643
28,0.010276965693546192
29,0.01350112955520577
